year,obesity_rate
1975,3.8
1976,3.9
1977,4.1
1978,4.2
1979,4.4
1980,4.5
1981,4.7
1982,4.8
1983,5
1984,5.2
1985,5.4
1986,5.5
1987,5.7
1988,5.9
1989,6.1
1990,6.2
1991,6.4
1992,6.6
1993,6.8
1994,7
1995,7.2
1996,7.5
1997,7.7
1998,7.9
1999,8.1
2000,8.3
2001,8.5
2002,8.7
2003,8.9
2004,9.1
2005,9.3
2006,9.5
2007,9.7
2008,9.9
2009,10.1
2010,10.3
2011,10.5
2012,10.7
2013,10.9
2014,11.1
2015,11.3
2016,11.5
